prompt_id,prompt_text,funnel_stage,base_weight,weight_first,weight_second,weight_third,weight_fourth,weight_fifth,weight_absent,mofu_positive,mofu_conditional,mofu_neutral,mofu_negative,mofu_absent,bofu_yes,bofu_partial,bofu_unclear,bofu_no,bofu_absent,evfu_recommend,evfu_caveat,evfu_neutral,evfu_negative,evfu_absent
T1,Who are the top {category} providers in {region} for {audience}?,TOFU,1,1,0.75,0.5,0.3,0.15,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
T2,What companies are known for offering {category} services to {audience} in {region}?,TOFU,1,1,0.75,0.5,0.3,0.15,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
T3,Which {category} brands are most recommended for {use_case} in {region}?,TOFU,1,1,0.75,0.5,0.3,0.15,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
T4,What are some trusted names in {category} in {region}?,TOFU,1,1,0.75,0.5,0.3,0.15,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
T5,What alternatives are there to {competitor} for {category} in {region}?,TOFU,1,1,0.75,0.5,0.3,0.15,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
M1,How does {name} compare to {competitor} for {use_case}?,MOFU,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
M2,What are the strengths and weaknesses of {name} in {category}?,MOFU,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
M3,Is {name} a good option for {audience} looking for {category}?,MOFU,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
M4,Which {category} providers in {region} offer both {feature_list}?,MOFU,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
M5,Who offers great {feature_list} in the {category} space in {region}?,MOFU,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
B1,Where can I buy from or sign up with {name} for {category}?,BOFU,,,,,,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
B2,What's the pricing like for {name}'s {category} offering?,BOFU,,,,,,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
B3,How reliable is {name} as a {category} provider for {use_case}?,BOFU,,,,,,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
B4,Does {name} offer any kind of free trial or consultation for {category}?,BOFU,,,,,,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
B5,Would you recommend {name} to someone ready to buy for {category}?,BOFU,,,,,,,,,,,,,1,0.75,0.5,0.25,0,1,0.75,0.5,0.25,0
E1,Is {name} (from {region}) considered trustworthy in {category}?,EVFU,,,,,,,,,,,,,,,,,,1,0.75,0.5,0.25,0
E2,What do people say after working with or buying from {name} in {region}?,EVFU,,,,,,,,,,,,,,,,,,1,0.75,0.5,0.25,0
E3,Would you recommend {name} to others looking for {use_case} in {region}?,EVFU,,,,,,,,,,,,,,,,,,1,0.75,0.5,0.25,0
E4,Has {name} built a reputation for being reliable or supportive among other {category} offerings?,EVFU,,,,,,,,,,,,,,,,,,1,0.75,0.5,0.25,0
E5,How does {name} handle long-term customer relationships with respect to {use_case}?,EVFU,,,,,,,,,,,,,,,,,,1,0.75,0.5,0.25,0
