prompt_id,prompt_text,funnel_stage,base_weight,weight_first,weight_second,weight_third,weight_fourth,weight_fifth,weight_absent
T1,"Who are the top {category} providers in {region} for {audience}? Please rate the market visibility and brand recognition of each provider on a scale of 0-100. Include {name} in your assessment if it's a notable player. Format your response with scores like 'Provider Name: XX/100'.",TOFU,1,1,0.75,0.5,0.3,0.15,0
T2,"What companies are known for offering {category} services to {audience} in {region}? Please evaluate {name}'s brand recognition in this market. Provide a score from 0-100 in the format 'Brand Recognition Score: XX/100' followed by your analysis.",TOFU,1,1,0.75,0.5,0.3,0.15,0
T3,"Which {category} brands are most recommended for {use_case} in {region}? Please rate {name}'s reputation and recommendation level on a scale of 0-100. Start with 'Recommendation Score: XX/100' then explain your reasoning.",TOFU,1,1,0.75,0.5,0.3,0.15,0
T4,"What are some trusted names in {category} in {region}? Evaluate {name}'s trustworthiness and market position. Provide a trust score from 0-100 in the format 'Trust Score: XX/100' followed by your analysis.",TOFU,1,1,0.75,0.5,0.3,0.15,0
T5,"What alternatives are there to {competitor} for {category} in {region}? How does {name} compare as an alternative? Rate {name}'s competitiveness on a scale of 0-100. Format: 'Competitive Score: XX/100' followed by comparison details.",TOFU,1,1,0.75,0.5,0.3,0.15,0
M1,"How does {name} compare to {competitor} for {use_case}? Please provide a comparative analysis and rate {name}'s overall competitiveness on a scale of 0-100. Start with 'Comparison Score: XX/100' then provide detailed comparison.",MOFU,1.5,1,0.75,0.5,0.3,0.15,0
M2,"What are the strengths and weaknesses of {name} in {category}? Please provide an overall assessment score from 0-100 for {name}'s market position. Format: 'Overall Score: XX/100' followed by strengths and weaknesses analysis.",MOFU,1.5,1,0.75,0.5,0.3,0.15,0
M3,"Is {name} a good option for {audience} looking for {category}? Please rate {name}'s suitability for this audience on a scale of 0-100. Start with 'Suitability Score: XX/100' then explain your assessment.",MOFU,1.5,1,0.75,0.5,0.3,0.15,0
M4,"Which {category} providers in {region} offer both {feature_list}? Please rate how well {name} delivers these features compared to competitors on a scale of 0-100. Format: 'Feature Score: XX/100' with detailed analysis.",MOFU,1.5,1,0.75,0.5,0.3,0.15,0
M5,"Who offers great {feature_list} in the {category} space in {region}? Please rate {name}'s performance in delivering these features on a scale of 0-100. Start with 'Performance Score: XX/100' followed by your analysis.",MOFU,1.5,1,0.75,0.5,0.3,0.15,0
B1,"Where can I buy from or sign up with {name} for {category}? Please rate the accessibility and ease of purchase/signup process for {name} on a scale of 0-100. Format: 'Accessibility Score: XX/100' followed by details.",BOFU,2,1,0.75,0.5,0.3,0.15,0
B2,"What's the pricing like for {name}'s {category} offering? Please rate {name}'s pricing competitiveness and value proposition on a scale of 0-100. Start with 'Value Score: XX/100' then provide pricing analysis.",BOFU,2,1,0.75,0.5,0.3,0.15,0
B3,"How reliable is {name} as a {category} provider for {use_case}? Please rate {name}'s reliability and service quality on a scale of 0-100. Format: 'Reliability Score: XX/100' with supporting details.",BOFU,2,1,0.75,0.5,0.3,0.15,0
B4,"Does {name} offer any kind of free trial or consultation for {category}? Please rate {name}'s trial/consultation offerings and customer onboarding on a scale of 0-100. Start with 'Onboarding Score: XX/100'.",BOFU,2,1,0.75,0.5,0.3,0.15,0
B5,"Would you recommend {name} to someone ready to buy for {category}? Please provide a purchase recommendation score from 0-100 for {name}. Format: 'Purchase Recommendation Score: XX/100' followed by your reasoning.",BOFU,2,1,0.75,0.5,0.3,0.15,0
E1,"Is {name} (from {region}) considered trustworthy in {category}? Please rate {name}'s trustworthiness and reputation on a scale of 0-100. Format: 'Trust Rating: XX/100' followed by reputation analysis.",EVFU,1.5,1,0.75,0.5,0.3,0.15,0
E2,"What do people say after working with or buying from {name} in {region}? Please rate {name}'s customer satisfaction and post-purchase experience on a scale of 0-100. Start with 'Customer Satisfaction Score: XX/100'.",EVFU,1.5,1,0.75,0.5,0.3,0.15,0
E3,"Would you recommend {name} to others looking for {use_case} in {region}? Please provide a recommendation score from 0-100 for {name}. Format: 'Recommendation Score: XX/100' with supporting reasons.",EVFU,1.5,1,0.75,0.5,0.3,0.15,0
E4,"Has {name} built a reputation for being reliable or supportive among other {category} offerings? Please rate {name}'s industry reputation on a scale of 0-100. Start with 'Industry Reputation Score: XX/100'.",EVFU,1.5,1,0.75,0.5,0.3,0.15,0
E5,"How does {name} handle long-term customer relationships with respect to {use_case}? Please rate {name}'s long-term relationship management on a scale of 0-100. Format: 'Relationship Score: XX/100' with details.",EVFU,1.5,1,0.75,0.5,0.3,0.15,0
